"unit","patient_idx","lppd"
"Group3_alpha",1,-3.5588664316789
"Group3_alpha",2,-3.15000422859098
"Group3_alpha",3,-0.42583706089571
"Group3_alpha",4,-0.671322446348189
"Group3_alpha",5,-3.02517381525329
"Group3_alpha",6,-0.623201906585992
"Group3_alpha",7,-0.622305418410297
"Group3_alpha",8,-0.492176587727819
"Group3_alpha",9,-0.629525121349305
"Group3_alpha",10,-2.82436423553029
"Group3_alpha",11,-0.501685028808789
"Group3_beta",1,-3.75556152786571
"Group3_beta",2,-0.555522863522059
"Group3_beta",3,-0.980550001865175
"Group3_beta",4,-0.644967944861339
"Group3_beta",5,-3.76986596532112
"Group3_gamma",1,-3.45261799821414
"Group3_gamma",2,-3.63284931382096
"Group3_gamma",3,-3.03582202259256
"Group3_gamma",4,-3.70256211698785
"Group3_gamma",5,-0.843150054312087
"Group3_gamma",6,-0.416672176054328
"Group4_alpha",1,-0.664893667714476
"Group4_alpha",2,-2.97232489941674
"Group4_alpha",3,-0.935885350696892
"Group4_alpha",4,-1.99863630987703
"Group4_alpha",5,-0.446941465762231
"Group4_alpha",6,-1.44284114046129
"Group4_alpha",7,-0.71421121025936
"Group4_alpha",8,-0.907383187979587
"Group4_alpha",9,-0.44849665732471
"Group4_alpha",10,-2.30426969016559
"Group4_alpha",11,-3.73079874604199
"Group4_alpha",12,-0.483035118186346
"Group4_alpha",13,-0.453476285733744
"Group4_alpha",14,-0.57885261396309
"Group4_alpha",15,-0.746825305772548
"Group4_beta",1,-3.09612316812498
"Group4_beta",2,-0.885406450226812
"Group4_beta",3,-0.217314944029308
"Group4_beta",4,-0.438724261164421
"Group4_beta",5,-0.581635743519425
"Group4_beta",6,-0.581466189841442
"Group4_beta",7,-0.408928795371523
"Group4_beta",8,-0.640765470473693
"Group4_beta",9,-0.337015648546826
"Group4_beta",10,-0.3553606809215
"Group4_beta",11,-0.431387029037344
"Group4_beta",12,-0.402883684203426
"Group4_beta",13,-0.431006949495643
"Group4_beta",14,-0.263628503017327
"Group4_beta",15,-0.320275659891885
"Group4_beta",16,-0.226274913330317
"Group4_beta",17,-0.768430710131999
"Group4_gamma",1,-3.22039440517717
"Group4_gamma",2,-0.892953596044984
"Group4_gamma",3,-0.621762944126633
"Group4_gamma",4,-0.591698040743993
"Group4_gamma",5,-0.659857387111331
"Group4_gamma",6,-0.543538869124192
"Group4_gamma",7,-0.448131626993316
"Group4_gamma",8,-0.639076962586584
"Group4_gamma",9,-0.424189306636302
"Group4_gamma",10,-2.67878929660975
"Group4_gamma",11,-0.675884881307296
"Group4_gamma",12,-0.533007667141668
"Group4_gamma",13,-0.577983199321905
"Group4_gamma",14,-0.633554768236899
"Group4_gamma",15,-0.564184447425451
"Group4_gamma",16,-0.764530677434573
"Group4_gamma",17,-0.735401850390889
"Group4_gamma",18,-0.821851690061169
"Group4_gamma",19,-0.766697050600934
"SHH_alpha",1,-0.319350806036675
"SHH_alpha",2,-3.65840330001737
"SHH_alpha",3,-0.494273403551563
"SHH_alpha",4,-0.543339808215646
"SHH_alpha",5,-3.40770601927685
"SHH_alpha",6,-0.551367411820751
"SHH_alpha",7,-0.406726538820099
"SHH_alpha",8,-0.322647945809589
"SHH_alpha",9,-0.481697414843564
"SHH_alpha",10,-3.48807527842519
"SHH_beta",1,-1.20446431371379
"SHH_beta",2,-1.04453625986338
"SHH_beta",3,-1.02450781907199
"SHH_beta",4,-1.09971239979092
"SHH_beta",5,-1.19987143050204
"SHH_delta",1,-0.983497255150966
"SHH_delta",2,-3.22548105570416
"SHH_delta",3,-1.40839247869476
"SHH_delta",4,-3.26210386188282
"SHH_delta",5,-1.17672592317209
"SHH_delta",6,-0.461352322903628
"SHH_delta",7,-1.23401786573399
"SHH_delta",8,-1.09014639493525
"SHH_delta",9,-1.15534426766205
"SHH_delta",10,-1.1188863556716
"SHH_delta",11,-3.75543073620848
"SHH_gamma",1,-3.37129852942721
"SHH_gamma",2,-0.756675842900025
"SHH_gamma",3,-0.625644733331883
"SHH_gamma",4,-0.411564243184954
"SHH_gamma",5,-0.701644242380477
"SHH_gamma",6,-0.794816157614181
"SHH_gamma",7,-0.684012607865702
"WNT_alpha",1,-0.782655884519735
"WNT_alpha",2,-0.47927640684661
"WNT_alpha",3,-0.774173886483277
"WNT_alpha",4,-3.41691396397695
"WNT_alpha",5,-0.778030911411574
"WNT_alpha",6,-0.576759066499241
"WNT_alpha",7,-0.698178342004651
"WNT_alpha",8,-0.809572557075086
"WNT_alpha",9,-0.761931860129348
"WNT_beta",1,-0.821564718811915
"WNT_beta",2,-0.553008776682847
"WNT_beta",3,-0.483517360864995
