"unit","patient_idx","lppd"
"Group3_alpha",1,-3.613247940013
"Group3_alpha",2,-3.20323644991337
"Group3_alpha",3,-0.562290467726653
"Group3_alpha",4,-0.615163801113615
"Group3_alpha",5,-2.98962477629515
"Group3_alpha",6,-0.730199085642244
"Group3_alpha",7,-0.631286585429483
"Group3_alpha",8,-0.554831337099138
"Group3_alpha",9,-0.592107039164625
"Group3_alpha",10,-2.88055525670842
"Group3_alpha",11,-0.578152798665024
"Group3_beta",1,-3.42930736984517
"Group3_beta",2,-0.555959133841021
"Group3_beta",3,-1.10541007374425
"Group3_beta",4,-0.646409591127142
"Group3_beta",5,-3.8645890549167
"Group3_gamma",1,-3.35250660855549
"Group3_gamma",2,-3.43387452094973
"Group3_gamma",3,-2.89515171000068
"Group3_gamma",4,-3.42690011935495
"Group3_gamma",5,-0.886401700009686
"Group3_gamma",6,-0.383589597777501
"Group4_alpha",1,-0.734378142273588
"Group4_alpha",2,-2.94143674190404
"Group4_alpha",3,-0.917506172017652
"Group4_alpha",4,-1.84687546632202
"Group4_alpha",5,-0.483637906894843
"Group4_alpha",6,-1.51275049603544
"Group4_alpha",7,-0.704207160403956
"Group4_alpha",8,-0.988841631835107
"Group4_alpha",9,-0.577148702150454
"Group4_alpha",10,-2.06030850625761
"Group4_alpha",11,-3.82256120043344
"Group4_alpha",12,-0.508767229095078
"Group4_alpha",13,-0.465578535572403
"Group4_alpha",14,-0.584840072922609
"Group4_alpha",15,-0.836409108116995
"Group4_beta",1,-3.31329798233992
"Group4_beta",2,-0.898721418417006
"Group4_beta",3,-0.269658866650206
"Group4_beta",4,-0.57199437082659
"Group4_beta",5,-0.733662761010735
"Group4_beta",6,-0.650323554234722
"Group4_beta",7,-0.436112185661686
"Group4_beta",8,-0.732908009922445
"Group4_beta",9,-0.431730554405435
"Group4_beta",10,-0.419238187074642
"Group4_beta",11,-0.578989443819466
"Group4_beta",12,-0.46160440791236
"Group4_beta",13,-0.504524062998654
"Group4_beta",14,-0.357068784898683
"Group4_beta",15,-0.378725703877294
"Group4_beta",16,-0.335802003210073
"Group4_beta",17,-0.846034823500921
"Group4_gamma",1,-3.27254006170348
"Group4_gamma",2,-0.79115668255991
"Group4_gamma",3,-0.605724190516689
"Group4_gamma",4,-0.548771340575251
"Group4_gamma",5,-0.699500180950477
"Group4_gamma",6,-0.596882394932683
"Group4_gamma",7,-0.536816681868667
"Group4_gamma",8,-0.676341115339568
"Group4_gamma",9,-0.361990740771622
"Group4_gamma",10,-2.49076890784485
"Group4_gamma",11,-0.547137311551547
"Group4_gamma",12,-0.597731085426569
"Group4_gamma",13,-0.609691037498466
"Group4_gamma",14,-0.680772298892293
"Group4_gamma",15,-0.515629258079406
"Group4_gamma",16,-0.766266005319142
"Group4_gamma",17,-0.782137325698193
"Group4_gamma",18,-0.934428852067934
"Group4_gamma",19,-0.780191731475567
"SHH_alpha",1,-0.459819084326008
"SHH_alpha",2,-3.46221436847037
"SHH_alpha",3,-0.630673656035296
"SHH_alpha",4,-0.489685207789841
"SHH_alpha",5,-3.05569285950037
"SHH_alpha",6,-0.654782076872355
"SHH_alpha",7,-0.497362560053722
"SHH_alpha",8,-0.375508327887188
"SHH_alpha",9,-0.614381781405189
"SHH_alpha",10,-3.35070222697091
"SHH_beta",1,-1.2163994530441
"SHH_beta",2,-1.06626088287983
"SHH_beta",3,-0.968952288512833
"SHH_beta",4,-1.09619702609206
"SHH_beta",5,-1.16645092370971
"SHH_delta",1,-0.904993025860896
"SHH_delta",2,-2.54898085699287
"SHH_delta",3,-1.28501609429863
"SHH_delta",4,-2.62532533069143
"SHH_delta",5,-1.00717374141778
"SHH_delta",6,-0.508661979497793
"SHH_delta",7,-1.09391476368945
"SHH_delta",8,-0.871840002448837
"SHH_delta",9,-0.966947161533829
"SHH_delta",10,-0.984351235005037
"SHH_delta",11,-3.22291800209676
"SHH_gamma",1,-3.49599846471583
"SHH_gamma",2,-0.928818944354
"SHH_gamma",3,-0.670713224406872
"SHH_gamma",4,-0.653883136096439
"SHH_gamma",5,-0.690392538458619
"SHH_gamma",6,-0.91544230686412
"SHH_gamma",7,-0.796766904590342
"WNT_alpha",1,-0.779551618168572
"WNT_alpha",2,-0.548773631279756
"WNT_alpha",3,-0.764810369364898
"WNT_alpha",4,-3.59850186774034
"WNT_alpha",5,-0.770722398556806
"WNT_alpha",6,-0.621409164682025
"WNT_alpha",7,-0.684322294535752
"WNT_alpha",8,-0.812192467419222
"WNT_alpha",9,-0.811430152020952
"WNT_beta",1,-0.72148495793403
"WNT_beta",2,-0.680959544839164
"WNT_beta",3,-0.530556347272963
